location,date,total_count
ORNL,2014-06,47
ORNL,2014-07,95
ORNL,2014-08,96
ORNL,2014-09,205
ORNL,2014-10,81.0
ORNL,2014-12,0.0
ORNL,2016-03,58.0
ORNL,2016-04,196.0
ORNL,2016-05,207.0
ORNL,2016-06,120.0
ORNL,2016-07,196.0
ORNL,2016-08,429.0
ORNL,2016-09,716.0
ORNL,2016-10,191.0
ORNL,2016-11,7.0
ORNL,2017-03,15.0
ORNL,2017-04,342.0
ORNL,2017-05,579.0
ORNL,2017-06,351.0
ORNL,2017-07,955
ORNL,2017-08,1376
ORNL,2017-09,1021.0
ORNL,2017-10,351.0
ORNL,2017-11,36.0
ORNL,2017-12,0.0
ORNL,2018-01,0.0
ORNL,2018-02,13.0
ORNL,2018-03,12.0
ORNL,2018-04,17.0
ORNL,2018-05,72.0
ORNL,2018-06,118
ORNL,2018-07,194
ORNL,2018-08,993.0
ORNL,2018-09,571
ORNL,2018-10,263.0
ORNL,2018-11,29.0
ORNL,2018-12,0.0
ORNL,2019-01,0.0
ORNL,2019-02,11.0
ORNL,2019-03,7.0
ORNL,2019-04,95
ORNL,2019-05,51
ORNL,2019-06,61
ORNL,2019-07,98
ORNL,2019-08,789
ORNL,2019-09,667
ORNL,2019-10,74
ORNL,2019-11,3
ORNL,2019-12,0.0
ORNL,2020-01,0.0
ORNL,2020-02,0.0
ORNL,2020-03,8.0
ORNL,2020-04,0.0
ORNL,2020-05,0.0
ORNL,2020-06,73.0
ORNL,2020-07,164.0
ORNL,2020-08,426.0
ORNL,2020-09,375.0
ORNL,2020-10,92
ORNL,2020-11,5.0
ORNL,2020-12,0.0
ORNL,2021-01,0.0
ORNL,2021-02,0.0
